Date,DHI,DNI,GHI,Horizontal UVI<400nm,Solar Zenith,Cloud Type,Relative Humidity,Temperature,Precipitable Water,SOLAR
2019-08-15 22:00:00,0,0,0,0.0,126.38,0,21.83,28.4,1.4,67
2019-08-15 23:00:00,0,0,0,0.0,130.4,0,22.75,27.8,1.4,67
2019-08-16 00:00:00,0,0,0,0.0,130.52,0,23.54,27.2,1.4,67
2019-08-16 01:00:00,0,0,0,0.0,126.69,0,25.27,26.6,1.4,68
2019-08-16 02:00:00,0,0,0,0.0,119.68,0,27.72,26.1,1.4,68
2019-08-16 03:00:00,0,0,0,0.0,110.48,0,30.27,25.5,1.5,67
2019-08-16 04:00:00,0,0,0,0.0,99.86,0,32.47,25.1,1.5,0
2019-08-16 05:00:00,12,31,13,0.0,88.09,3,30.97,26.6,1.5,0
2019-08-16 06:00:00,56,575,192,9.2873,76.32,0,26.23,30.1,1.5,410
2019-08-16 07:00:00,78,756,408,21.8984,64.14,0,19.61,33.9,1.5,4133
2019-08-16 08:00:00,93,849,616,35.3167,51.98,0,13.8,37.0,1.5,8345
2019-08-16 09:00:00,104,902,792,47.0976,40.26,0,11.25,39.2,1.4,9899
2019-08-16 10:00:00,111,931,919,55.7419,29.81,0,9.86,40.9,1.4,10655
2019-08-16 11:00:00,114,948,988,60.4594,22.72,0,8.97,42.1,1.3,10964
2019-08-16 12:00:00,113,950,990,60.5918,22.56,0,8.25,43.0,1.3,11018
2019-08-16 13:00:00,110,939,928,56.3191,29.43,0,7.89,43.4,1.2,10972
2019-08-16 14:00:00,103,912,804,47.864,39.79,0,7.77,43.1,1.2,10823
2019-08-16 15:00:00,93,863,630,36.1898,51.49,0,7.62,42.8,1.2,10379
2019-08-16 16:00:00,78,781,425,22.8897,63.65,0,8.5,40.4,1.1,9587
2019-08-16 17:00:00,57,607,205,9.952,75.86,0,10.57,36.6,1.1,7811
2019-08-16 18:00:00,18,167,25,0.0,87.69,0,14.26,32.3,1.0,3579
2019-08-16 19:00:00,0,0,0,0.0,99.49,0,17.94,29.7,1.0,306
2019-08-16 20:00:00,0,0,0,0.0,110.19,0,20.97,28.2,1.0,17
2019-08-16 21:00:00,0,0,0,0.0,119.52,0,23.35,27.1,1.0,16
2019-08-16 22:00:00,0,0,0,0.0,126.69,0,25.16,26.3,1.0,15
2019-08-16 23:00:00,0,0,0,0.0,130.72,0,27.14,25.6,1.0,15
2019-08-17 00:00:00,0,0,0,0.0,130.82,0,29.9,24.7,1.0,0
2019-08-17 01:00:00,0,0,0,0.0,126.96,0,34.15,23.6,1.1,0
2019-08-17 02:00:00,0,0,0,0.0,119.92,0,39.23,22.6,1.1,0
2019-08-17 03:00:00,0,0,0,0.0,110.67,0,44.08,21.8,1.1,0
2019-08-17 04:00:00,0,0,0,0.0,100.03,0,47.61,21.4,1.1,0
2019-08-17 05:00:00,15,125,19,0.0,88.22,0,44.83,23.0,1.2,0
2019-08-17 06:00:00,61,527,184,8.8916,76.45,0,37.54,26.3,1.2,404
2019-08-17 07:00:00,74,778,412,22.0942,64.26,0,28.99,29.8,1.2,4167
2019-08-17 08:00:00,87,868,620,35.5274,52.11,0,21.36,33.2,1.3,8474
2019-08-17 09:00:00,98,916,795,47.258,40.42,0,16.13,36.0,1.3,10130
2019-08-17 10:00:00,106,940,920,55.7852,30.02,0,13.43,38.1,1.3,10811
2019-08-17 11:00:00,110,950,984,60.1964,23.01,0,11.73,39.7,1.4,11103
2019-08-17 12:00:00,110,950,985,60.2658,22.88,0,10.98,40.6,1.4,11125
2019-08-17 13:00:00,107,937,921,55.8714,29.71,0,10.67,40.8,1.4,11068
2019-08-17 14:00:00,101,909,797,47.4196,40.04,0,10.68,40.4,1.4,10955
2019-08-17 15:00:00,91,858,623,35.7566,51.71,0,10.78,40.0,1.4,10546
2019-08-17 16:00:00,90,694,396,21.295,63.87,0,12.3,37.5,1.4,9780
2019-08-17 17:00:00,57,590,199,9.6438,76.08,0,15.2,34.1,1.4,7721
2019-08-17 18:00:00,18,150,23,0.0,87.9,0,20.61,30.1,1.4,3481
2019-08-17 19:00:00,0,0,0,0.0,99.73,0,27.18,27.3,1.4,294
2019-08-17 20:00:00,0,0,0,0.0,110.45,0,33.11,25.5,1.5,0
2019-08-17 21:00:00,0,0,0,0.0,119.81,0,37.94,24.2,1.5,0
2019-08-17 22:00:00,0,0,0,0.0,127.01,0,41.95,23.2,1.5,0
2019-08-17 23:00:00,0,0,0,0.0,131.05,0,45.83,22.3,1.6,0
2019-08-18 00:00:00,0,0,0,0.0,131.13,0,49.37,21.6,1.6,0
2019-08-18 01:00:00,0,0,0,0.0,127.24,0,52.61,20.9,1.6,0
2019-08-18 02:00:00,0,0,0,0.0,120.15,0,54.99,20.3,1.6,0
2019-08-18 03:00:00,0,0,0,0.0,110.87,0,56.93,19.8,1.6,0
2019-08-18 04:00:00,0,0,0,0.0,100.19,0,57.61,19.7,1.6,0
2019-08-18 05:00:00,13,90,16,0.0,88.35,0,53.33,21.1,1.6,0
2019-08-18 06:00:00,60,526,182,8.7865,76.58,0,45.07,24.0,1.6,399
2019-08-18 07:00:00,80,742,401,21.4842,64.39,0,36.25,27.0,1.6,4143
2019-08-18 08:00:00,94,839,608,34.82,52.25,0,28.79,29.9,1.6,8414
2019-08-18 09:00:00,104,893,782,46.4674,40.58,0,22.24,32.8,1.6,9874
2019-08-18 10:00:00,111,923,908,55.0394,30.24,0,16.45,35.4,1.6,10408
2019-08-18 11:00:00,113,938,974,59.5657,23.31,0,13.33,37.2,1.6,10569
2019-08-18 12:00:00,111,940,975,59.6339,23.2,0,11.7,38.4,1.6,10755
2019-08-18 13:00:00,107,928,911,55.2419,29.99,0,11.05,38.8,1.6,11026
2019-08-18 14:00:00,101,900,788,46.8564,40.29,0,11.01,38.6,1.6,10945
2019-08-18 15:00:00,92,848,615,35.2651,51.94,0,11.19,38.3,1.6,10555
2019-08-18 16:00:00,78,756,408,21.9062,64.09,0,12.76,36.1,1.7,9635
2019-08-18 17:00:00,56,573,192,9.2887,76.3,0,15.75,33.0,1.7,7768
2019-08-18 18:00:00,15,126,19,0.0,88.12,0,21.19,29.4,1.7,3313
2019-08-18 19:00:00,0,0,0,0.0,99.98,0,26.21,27.3,1.7,333
2019-08-18 20:00:00,0,0,0,0.0,110.72,0,29.7,26.0,1.8,0
2019-08-18 21:00:00,0,0,0,0.0,120.1,0,32.01,25.0,1.8,0
2019-08-18 22:00:00,0,0,0,0.0,127.32,0,33.11,24.3,1.8,0
2019-08-18 23:00:00,0,0,0,0.0,131.38,0,33.76,23.7,1.8,0
2019-08-19 00:00:00,0,0,0,0.0,131.45,0,34.21,23.2,1.8,0
2019-08-19 01:00:00,0,0,0,0.0,127.51,0,36.19,22.5,1.8,0
2019-08-19 02:00:00,0,0,0,0.0,120.38,0,39.15,21.8,1.8,0
2019-08-19 03:00:00,0,0,0,0.0,111.06,0,41.72,21.2,1.8,0
2019-08-19 04:00:00,0,0,0,0.0,100.36,0,43.7,20.8,1.8,0
2019-08-19 05:00:00,12,78,14,0.0,88.48,0,42.22,21.7,1.8,0
2019-08-19 06:00:00,81,181,123,5.9321,76.72,3,38.2,24.0,1.8,395
2019-08-19 07:00:00,103,616,368,19.6977,64.52,0,33.74,26.6,1.7,3973
2019-08-19 08:00:00,91,846,607,34.7428,52.39,0,27.56,29.4,1.7,8363
2019-08-19 09:00:00,102,893,779,46.2702,40.75,0,21.3,32.5,1.7,10044
2019-08-19 10:00:00,113,916,903,54.7181,30.46,0,16.69,35.0,1.7,10684
2019-08-19 11:00:00,114,935,971,59.3631,23.61,0,14.35,36.7,1.6,11040
2019-08-19 12:00:00,114,936,972,59.4294,23.53,0,12.88,37.9,1.6,11092
2019-08-19 13:00:00,111,923,908,55.0352,30.29,0,11.91,38.5,1.6,11056
2019-08-19 14:00:00,105,894,784,46.5907,40.54,0,11.45,38.4,1.6,10961
2019-08-19 15:00:00,94,845,612,35.0605,52.17,0,11.21,38.2,1.5,10587
